"scrambleId";"competitionId";"eventId";"roundTypeId";"groupId";"isExtra";"scrambleNum";"scramble";"edge.targets";"corner.targets";"edge.twists";"corner.twists";"pairity"
22;"GaleriesDorianOpen2014";"333bf";"c";"A";0;1;"B2 U' L2 U F2 L2 D2 L2 U F2 L F2 L D U L' D2 F' U2 B";12;6;0;1;"no pairity"
23;"GaleriesDorianOpen2014";"333bf";"c";"A";0;2;"D2 U L2 B2 R2 F2 R2 U2 R2 D' R' D B2 U B' R B' D B' L'";11;5;0;2;"pairity"
24;"GaleriesDorianOpen2014";"333bf";"c";"A";0;3;"L2 D F2 D' B2 L2 R2 U2 F2 D L' U2 R2 B' R F R2 D' U F L' F'";12;8;0;0;"no pairity"
25;"GaleriesDorianOpen2014";"333bf";"c";"A";1;1;"U' B2 U2 F2 L2 D' F2 L2 B' D2 B' L' F R D L' B2 L2 B2 D' L2 U";11;7;0;0;"pairity"
26;"GaleriesDorianOpen2014";"333bf";"c";"A";1;2;"U2 R2 U' F2 D' L2 F2 D L B2 F2 D' L' U2 L R F U2 B' D2 B R2";9;7;1;1;"pairity"
27;"GaleriesDorianOpen2014";"333bf";"c";"B";0;1;"U2 L2 U' L2 U2 B2 D L R' B D' F L2 D2 F' L D F' U' L B2";13;3;0;2;"pairity"
28;"GaleriesDorianOpen2014";"333bf";"c";"B";0;2;"D U B2 L2 D R2 U' L2 F L R D2 B' D B2 R D2 F L' B' L'";10;8;1;1;"no pairity"
29;"GaleriesDorianOpen2014";"333bf";"c";"B";0;3;"R2 F R2 F2 D2 U2 F' U2 F' L2 D' L B2 F2 D F L F L2 R' F2 L'";11;7;1;0;"pairity"
30;"GaleriesDorianOpen2014";"333bf";"c";"B";1;1;"L F2 U2 L D2 R2 B2 D2 B2 R' B F' R' U' F' R F' L' F' U L2 U'";10;4;0;3;"no pairity"
31;"GaleriesDorianOpen2014";"333bf";"c";"B";1;2;"U2 B2 R2 F2 U' L2 B2 U R2 U' L D' L2 F R B2 F' R B R'";13;7;0;1;"pairity"
588;"HessenOpen2014";"333bf";"d";"A";0;1;"D B2 U2 L2 F2 U L2 U B R U2 L D' B' D2 F' D L2 B L";12;6;0;2;"no pairity"
589;"HessenOpen2014";"333bf";"d";"A";0;2;"R2 B2 L D2 F2 U2 F2 L' B2 F L' R B2 U B D' L' U L' F2 D";12;6;0;1;"no pairity"
590;"HessenOpen2014";"333bf";"d";"A";0;3;"D B2 R2 F2 D L2 D' L2 D B' F U' R' B2 R2 B2 D' L' F U' L2";12;6;0;1;"no pairity"
591;"HessenOpen2014";"333bf";"d";"A";1;1;"F2 D' L2 R2 F2 D' R2 F2 U2 B2 D2 R D' R2 F L B D2 R' D' L2";13;7;0;1;"pairity"
592;"HessenOpen2014";"333bf";"d";"A";1;2;"R2 D2 B2 D2 R2 D2 F' D2 F R' U' R2 U' R F L' B' F D' F2 L B2";10;8;1;1;"no pairity"
593;"HessenOpen2014";"333bf";"d";"B";0;1;"U2 R2 B' U2 F U2 B2 D2 B2 D R D R U R2 B2 R' D2 U' B' L B";10;8;1;0;"no pairity"
594;"HessenOpen2014";"333bf";"d";"B";0;2;"R2 D2 B2 R2 U L2 U' R2 D R' F2 R2 D2 L2 F' D' B2 D L' U2 B R";14;8;0;0;"no pairity"
595;"HessenOpen2014";"333bf";"d";"B";0;3;"B2 R2 B2 L' B2 D2 F2 L' F2 U' B D' F D' B L' F2 D' F2 L2 B'";11;7;0;0;"pairity"
596;"HessenOpen2014";"333bf";"d";"B";1;1;"D2 U L2 R2 B2 D L2 D' R2 B' F' D R' D' L' R' B' L D B'";12;4;1;3;"no pairity"
597;"HessenOpen2014";"333bf";"d";"B";1;2;"F D2 B' L2 B' R2 B' U2 B U' L D F U2 B' F2 U2 L D U L' F'";9;9;0;0;"pairity"
598;"HessenOpen2014";"333bf";"f";"A";0;1;"F2 U L2 D U' B2 U2 F2 L2 U' B U L F2 L2 R2 B R' B2 R' U L2";11;7;2;0;"pairity"
599;"HessenOpen2014";"333bf";"f";"A";0;2;"F U2 B' L2 B' L2 U2 F' L2 D F2 R' U' F R D' B D' U' F L' F'";12;6;0;1;"no pairity"
600;"HessenOpen2014";"333bf";"f";"A";0;3;"D U' R2 B2 D R2 U2 F2 R2 U' F' U2 B U' F' R U2 B D F' D";11;9;0;0;"pairity"
